"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","y"
0.34247,0.03653,0.53881,0.09132,0.48858,0.17808,0.73059,0.62557,0.37443,0.85388,0.22831,1372.56560400093
0.40639,0.2968,0.26941,0.15068,0.17808,0.3105,0.97717,0.53425,0.71233,0.0411,0.33333,974.825909801472
0.53881,0.85845,0.91781,0.99543,0.80365,0.89498,0.74886,0.73973,0.25571,0.71689,0.79909,1670.00460526518
0.31963,0.95434,0.58447,0.27854,0.29224,0.53881,0.07306,0.05023,0.82192,0.14155,0.57991,1241.16606084114
0.03196,0.94977,0.06393,0.57534,0.11872,0.87215,0.18721,0.56164,0.3653,0.73973,0.379,700.411697281657
0.98174,0.621,0.06849,0.621,0.56164,0.63014,0.6347,0.26027,0.13699,0.22374,0.50228,434.928411976035
0.57991,0.08676,0.82192,0.14612,0.34247,0.94064,0.82648,0.93151,0.39269,0.42009,0.19178,1192.04131199034
0.09132,0.74886,0.56164,0.01826,0.379,0.89041,0.09589,0.99543,0.55251,0.21918,0.28767,1339.79556238434
0.34703,0.71233,0.28311,0.34247,0.89041,0.47032,0.75799,0.97717,0.91324,0.25114,0.39269,1080.86337112055
0.24658,0.43836,0.46119,0.79909,0.77169,0.93151,0.52511,0.21005,0.0137,0.83105,0.15068,1413.29868295355
0.39269,0.92237,0.22374,0.93607,0.21918,0.44292,0.28767,0.26484,0.67123,0.47032,0.61644,1127.89679030192
0.36986,0.97717,0.99087,0.35616,0.7032,0.12785,0.61644,0.17808,0.21461,0.45205,0.31507,1578.44303283703
0.54795,0.93151,0.3653,0.05479,0.13699,0.75342,0.78082,0.20548,0.79909,0.42922,0.48402,1030.7906775589
0.85388,0.00913,0.98174,0.84475,0.28767,0.80365,0.3653,0.23288,0.89954,0.379,0.70776,825.251767169745
1,0.84932,0.84018,0.73059,0.59817,0.77169,0.58447,0.44749,0.57078,0.26941,0.36986,990.341768992209
0.12785,0.44292,0.59361,0.3653,0.3379,0.6347,0.26027,0.63927,0.52055,0.9863,0.10046,1727.43516208056
0.90411,0.94521,0.0137,0.14155,0.75342,0.46575,0.42466,0.81279,0.04566,0.53881,0.54338,303.455022791287
0.63014,0.91324,0.12785,0.64384,0.6758,0.22374,0.96804,0.75342,0.56164,0.52511,0.03196,818.996586404498
0.64384,1,0.51142,0.46575,0.36073,0.81279,0.41096,0.46119,0.40639,0.05479,0.26027,997.335044956103
0.50228,0.53881,0.62557,0.9589,0.0137,0.54795,0.60274,0.24201,0.72603,0.84475,0.0274,1710.50202841595
0.06849,0.6621,0.05023,0.21918,0.15982,0.06849,0.58904,0.73059,0.3105,0.57078,0.11872,652.769890858731
0.11872,0.6758,0.27854,0.07306,0.72146,0.27397,0.36073,0.15068,0.08676,0.77169,0.94064,962.125784844854
0.30594,0.14155,0.13242,0.74429,0.91324,0.71233,0.12329,0.16895,0.3379,0.90411,0.10502,763.220985329246
0.15525,0.58904,0.21461,0.75342,0.61187,0.94977,0.48402,0,0.27854,0.6758,0.84475,1022.46645159968
0.17352,0.31963,0.6347,0.20548,1,0.62557,0.42009,0.6758,0.21005,0.78082,0.621,1431.46074957381
0.97717,0.33333,0.10959,0.13242,0.14155,0.79909,0.50685,0.04566,0.53881,0.89041,0.81279,482.070582883366
0.28311,0.99543,0.90411,0.72146,0.46119,0.55708,0.3516,0.379,0.28767,0.42466,0.66667,1689.70544657216
0.86758,0.41553,0.79909,0.00913,0.20091,0.84475,0.60731,0.94977,0.43379,0.77626,0.41096,1175.24276911002
0.20548,0.99087,0.54338,0.83562,0.12785,0.40639,0.66667,0.75799,0.99543,0.27397,0.52968,1664.61101023197
0.74429,0.46575,0.19178,0,0.2968,0.67123,0.76256,0.6895,0.63927,0.08676,0.87215,718.317974104406
0.78995,0.18265,0.7032,0.34703,0.21461,0.88128,0.68037,0.70776,0.58447,0.87215,0.9589,1335.04654079659
0.49315,0.20091,0.21918,0.86301,0.42466,0.10046,0.87215,0.37443,0.55708,0.96804,0.42009,1159.28403316546
0.14155,0.73516,0.93607,0.93151,0.47032,0.7032,0.6484,0.86758,0.88584,0.04566,0.73516,1602.47059795595
0.55251,0.6895,0.9726,0.65753,0.76256,0.41096,0.47489,0.91324,0.16895,0.14612,0.09589,1284.39028899676
0.02283,0.84475,0.63927,0.39726,0.30137,0.45205,0.50228,0.2968,0.92694,0.69863,0.24658,1765.24400772886
0.38813,0.36073,0.08219,0.84932,0.45205,0.20091,0.56621,0.69863,0.05023,0.13242,0.28311,725.814618415621
0.10046,0.62557,0.65297,0.24658,0.22374,0.01826,0.15525,0.38813,0.81279,0.09589,0.18721,1445.43583741185
0.28767,0.86301,0.621,0.48402,0.73973,0.19635,0.05023,0.00457,0.6895,0.50685,0.88584,1411.34109134605
0.56164,0.0137,0.21005,0.17352,0.63927,0.26027,0.93607,0.96804,0.11416,0.87671,0.76256,881.76085533673
