"","RMSE","MaxE","iterations","size","train_set"
"118",0.0350564856849036,0.120339821103964,"15","79","2"
"119",0.0350126185128668,0.123039029113636,"20","79","2"
"120",0.0351043790761388,0.123102352608753,"25","79","2"
"121",0.0540036156210619,0.187936930772158,"5","68","3"
"122",0.0531956689369909,0.184936839652624,"10","68","3"
"123",0.0523400629418372,0.182556919611471,"15","68","3"
"124",0.0484412072199112,0.165042106798077,"20","68","3"
"125",0.0474443629234561,0.160281916803566,"25","68","3"
"126",0.0514449544800773,0.178602382309115,"5","69","3"
"127",0.0520418348872112,0.178065922197256,"10","69","3"
"128",0.050363946900231,0.172191410634,"15","69","3"
"129",0.0478047750077632,0.162513511395609,"20","69","3"
"130",0.0470313250390554,0.159348923321783,"25","69","3"
"131",0.0515248985899257,0.179684109659733,"5","70","3"
"132",0.05210975032244,0.17996686701708,"10","70","3"
"133",0.0503230062905409,0.173087595391655,"15","70","3"
"134",0.0482090425085333,0.164407773150622,"20","70","3"
"135",0.04698295162601,0.159195659858823,"25","70","3"
"136",0.0497916891588564,0.16748065797884,"5","71","3"
"137",0.0513750301044054,0.175136821716779,"10","71","3"
"138",0.0511910754739401,0.17499460117077,"15","71","3"
"139",0.0493811345658208,0.168487479492932,"20","71","3"
"140",0.0489802380331856,0.168862528059928,"25","71","3"
"141",0.0507492376048158,0.169753725168844,"5","72","3"
"142",0.0522762637161081,0.179775714336927,"10","72","3"
"143",0.0513488253782321,0.175136575392508,"15","72","3"
"144",0.0493017919100295,0.167660130396448,"20","72","3"
"145",0.0489204985931297,0.167664574599596,"25","72","3"
"146",0.0505515112766527,0.16379663175513,"5","73","3"
"147",0.050699912372835,0.171852429993128,"10","73","3"
"148",0.0505844941988662,0.172489565856629,"15","73","3"
"149",0.0488125848019633,0.167079470609587,"20","73","3"
"150",0.0484776551969887,0.167105746293476,"25","73","3"
"151",0.0499190241886717,0.166023850463946,"5","74","3"
"152",0.0501300402140283,0.171418831214277,"10","74","3"
"153",0.0502057361289092,0.171061691457063,"15","74","3"
"154",0.0504368077095575,0.173353832343266,"20","74","3"
"155",0.05014120307595,0.172554692657591,"25","74","3"
"156",0.0510897654449784,0.167659761908615,"5","75","3"
"157",0.0503371260246189,0.16568319388152,"10","75","3"
"158",0.0508694435587729,0.169976569551442,"15","75","3"
"159",0.0510868805511641,0.173616879293566,"20","75","3"
"160",0.0505800132869484,0.170663504181275,"25","75","3"
"161",0.0494435812682728,0.16316279895466,"5","76","3"
"162",0.0483510451108445,0.16422777267122,"10","76","3"
"163",0.0491255834235748,0.164956655323331,"15","76","3"
"164",0.0495302961687772,0.165684863246689,"20","76","3"
"165",0.0492724880799075,0.163648341917479,"25","76","3"
"166",0.051341689565182,0.171366287653451,"5","77","3"
"167",0.050446353072206,0.166056183871074,"10","77","3"
"168",0.0506872301176476,0.16625374000602,"15","77","3"
"169",0.050783709810505,0.166500181162818,"20","77","3"
"170",0.0506355527459684,0.166052268705877,"25","77","3"
"171",0.0523389704924399,0.169910541884436,"5","78","3"
"172",0.0518290313976262,0.171915101118471,"10","78","3"
"173",0.0518109632980896,0.17042527895137,"15","78","3"
"174",0.0512994286666771,0.168213010482102,"20","78","3"
"175",0.0510347275571959,0.166724922462737,"25","78","3"
"176",0.0524843434348739,0.177545145760128,"5","79","3"
"177",0.0522089672052833,0.176377635327101,"10","79","3"
"178",0.0522677596256255,0.174516121193038,"15","79","3"
"179",0.0517450392287101,0.172506857583191,"20","79","3"
"180",0.051932642186098,0.173136584908344,"25","79","3"
"181",0.0448886394756417,0.214883773190702,"5","68","4"
"182",0.0431301071806852,0.203520952360228,"10","68","4"
"183",0.0432587678564695,0.198810785414045,"15","68","4"
"184",0.0426096343395099,0.19801324417722,"20","68","4"
"185",0.0419545491543962,0.192962833026305,"25","68","4"
"186",0.0444662456198687,0.215068064506839,"5","69","4"
"187",0.0428688634313936,0.203153680336828,"10","69","4"
"188",0.0429735656068738,0.199022006594968,"15","69","4"
"189",0.042608606266313,0.200170096066631,"20","69","4"
"190",0.0422039517715476,0.194995511739247,"25","69","4"
"191",0.0450787935665879,0.223863920458684,"5","70","4"
"192",0.0432823714760217,0.207896254474782,"10","70","4"
"193",0.0432358027578453,0.202507935362252,"15","70","4"
"194",0.0428136952138605,0.203889495179336,"20","70","4"
"195",0.0425392050570498,0.201300145191285,"25","70","4"
"196",0.0440268517467929,0.208179030159138,"5","71","4"
"197",0.0431944952425544,0.205182859447233,"10","71","4"
"198",0.0432995658319336,0.20489900070126,"15","71","4"
"199",0.0430540659353097,0.20740028008546,"20","71","4"
"200",0.0430340207345294,0.204700244827726,"25","71","4"
"201",0.0441571921051831,0.221813176428815,"5","72","4"
"202",0.0432975417851438,0.213455983435414,"10","72","4"
"203",0.0435984753201448,0.212302655887542,"15","72","4"
"204",0.0432379800055091,0.212669797550438,"20","72","4"
"205",0.0432259974740221,0.209425276612501,"25","72","4"
"206",0.0448306507258942,0.228856467855376,"5","73","4"
"207",0.0436114569319804,0.213582058630837,"10","73","4"
"208",0.0439945281108976,0.212982257799035,"15","73","4"
"209",0.0435835415945005,0.213274190677883,"20","73","4"
"210",0.0435236284178092,0.211114012523273,"25","73","4"
"211",0.0450440857872168,0.229033004272212,"5","74","4"
"212",0.043685242599405,0.213144876364814,"10","74","4"
"213",0.0443266443276074,0.215333035462856,"15","74","4"
"214",0.0440972235595108,0.215283732991985,"20","74","4"
"215",0.0440026974578899,0.213164159617756,"25","74","4"
"216",0.0454850076232032,0.234136716094389,"5","75","4"
"217",0.0442435978634132,0.21873087130561,"10","75","4"
